product_type1,product_type2,time,price
A,B,2024-01-02 00:00:00,119.68117190919833
A,B,2024-01-02 02:00:00,114.80879279861522
A,B,2024-01-02 04:00:00,130.61909135677004
A,B,2024-01-02 06:00:00,119.72689335149296
A,B,2024-01-02 10:00:00,134.57414393486425
A,B,2024-01-02 12:00:00,122.76569155002542
A,B,2024-01-02 14:00:00,138.4140210220489
A,B,2024-01-02 16:00:00,116.48810689693002
A,B,2024-01-02 18:00:00,135.63117068097122
A,B,2024-01-02 20:00:00,134.60734529954152
A,B,2024-01-02 22:00:00,127.736368673719
A,B,2024-01-03 00:00:00,123.73670423145956
A,B,2024-01-03 02:00:00,135.17235253096388
A,B,2024-01-03 04:00:00,135.99165027902725
A,B,2024-01-03 06:00:00,132.0061551595799
A,B,2024-01-03 08:00:00,119.91604554511437
A,B,2024-01-03 10:00:00,116.15955151155185
A,B,2024-01-03 12:00:00,116.69749744905404
A,B,2024-01-03 14:00:00,130.25892982836552
A,B,2024-01-03 16:00:00,123.52483251879083
A,B,2024-01-03 18:00:00,120.90723960058443
A,B,2024-01-03 20:00:00,130.57219291377774
A,B,2024-01-03 22:00:00,118.47642276264374
A,B,2024-01-04 00:00:00,118.28020681347893
A,B,2024-01-04 02:00:00,139.23352275281127
A,B,2024-01-04 04:00:00,128.26194229195133
A,B,2024-01-04 06:00:00,135.51342200017822
A,B,2024-01-04 08:00:00,119.9452084033117
A,B,2024-01-04 10:00:00,122.13674097119504
A,B,2024-01-04 12:00:00,119.48701099240527
A,B,2024-01-04 14:00:00,136.3634975996872
A,B,2024-01-04 16:00:00,130.75996600357232
A,B,2024-01-04 18:00:00,137.33187507889818
A,B,2024-01-04 20:00:00,120.85403571506633
A,B,2024-01-04 22:00:00,128.3740081343559
A,B,2024-01-05 00:00:00,128.96289421490803
A,B,2024-01-05 02:00:00,124.26594225680694
A,B,2024-01-05 04:00:00,139.43679232726237
A,B,2024-01-05 06:00:00,116.44152857494798
A,B,2024-01-05 08:00:00,116.91683340753555
A,B,2024-01-05 10:00:00,134.22565230590854
A,B,2024-01-05 12:00:00,115.7470326879854
A,B,2024-01-05 14:00:00,139.40087187335308
A,B,2024-01-05 16:00:00,138.76569368878666
A,B,2024-01-05 18:00:00,114.42694663913001
A,B,2024-01-05 20:00:00,131.4263083480052
A,B,2024-01-05 22:00:00,120.90336831647956
A,B,2024-01-09 00:00:00,116.96510124393191
A,B,2024-01-09 02:00:00,125.64376874293538
A,B,2024-01-09 04:00:00,136.35044335918792
A,B,2024-01-09 06:00:00,126.83236337232081
A,B,2024-01-09 08:00:00,137.28318349069832
A,B,2024-01-09 10:00:00,121.70535206317956
A,B,2024-01-09 12:00:00,129.58136339746525
A,B,2024-01-09 14:00:00,133.47569004041281
A,B,2024-01-09 16:00:00,133.88444004537655
A,B,2024-01-09 18:00:00,114.15025303199147
A,B,2024-01-09 20:00:00,114.62974609057932
A,B,2024-01-09 22:00:00,136.42320965263616
A,B,2024-01-10 00:00:00,121.9353821103775
A,B,2024-01-10 02:00:00,136.4051437742365
A,B,2024-01-10 04:00:00,116.30821903343562
A,B,2024-01-10 06:00:00,115.89121942232416
A,B,2024-01-10 08:00:00,133.55998890876887
A,B,2024-01-10 10:00:00,126.19057210355766
A,B,2024-01-10 12:00:00,120.85851142012575
A,B,2024-01-10 14:00:00,124.86800667906772
A,B,2024-01-10 16:00:00,127.81418382232796
A,B,2024-01-10 18:00:00,119.2376426403152
A,B,2024-01-10 20:00:00,139.3762179537891
A,B,2024-01-10 22:00:00,125.2474990036498
A,B,2024-01-11 00:00:00,117.20483760610081
A,B,2024-01-11 02:00:00,122.71078073093328
A,B,2024-01-11 04:00:00,119.97226264972888
A,B,2024-01-11 06:00:00,115.93638084624908
A,B,2024-01-11 08:00:00,119.94251256379762
A,B,2024-01-11 10:00:00,135.93910978836888
A,B,2024-01-11 12:00:00,120.1723781693796
A,B,2024-01-11 14:00:00,119.5695429012129
A,B,2024-01-11 16:00:00,137.86366271697435
A,B,2024-01-11 18:00:00,126.12433908381834
A,B,2024-01-11 20:00:00,134.61669744301625
A,B,2024-01-11 22:00:00,116.59425240295312
A,B,2024-01-12 00:00:00,124.87918393752744
A,B,2024-01-12 02:00:00,132.6276626872375
A,B,2024-01-12 04:00:00,139.09762159010586
A,B,2024-01-12 06:00:00,124.34763243166528
A,B,2024-01-12 08:00:00,135.99077868879607
A,B,2024-01-12 10:00:00,118.9601112987528
A,B,2024-01-12 12:00:00,124.83614250535202
A,B,2024-01-12 14:00:00,120.4717134605048
A,B,2024-01-12 16:00:00,125.37509417492653
A,B,2024-01-12 18:00:00,128.09392353136462
A,B,2024-01-12 20:00:00,139.48104813163542
A,B,2024-01-12 22:00:00,138.7128838308689
A,B,2024-01-16 00:00:00,135.6616415793326
A,B,2024-01-16 02:00:00,126.45330618682851
A,B,2024-01-16 04:00:00,124.30753300393475
A,B,2024-01-16 06:00:00,123.74783225808662
A,B,2024-01-16 08:00:00,120.86222537788055
A,B,2024-01-16 10:00:00,125.6763522418171
A,B,2024-01-16 12:00:00,138.41667324902411
A,B,2024-01-16 14:00:00,128.23197733701355
A,B,2024-01-16 16:00:00,118.06193694509969
A,B,2024-01-16 18:00:00,138.70560723776612
A,B,2024-01-16 20:00:00,127.8877154631737
A,B,2024-01-16 22:00:00,115.5856591155777
A,B,2024-01-17 00:00:00,126.88979318001392
A,B,2024-01-17 02:00:00,118.12879266103307
A,B,2024-01-17 04:00:00,116.16765485331895
A,B,2024-01-17 06:00:00,129.227920369082
A,B,2024-01-17 08:00:00,120.10134161782129
A,B,2024-01-17 10:00:00,136.71654959059384
A,B,2024-01-17 12:00:00,129.21483399754072
A,B,2024-01-17 14:00:00,124.76875867486493
A,B,2024-01-17 16:00:00,127.39534688824067
A,B,2024-01-17 18:00:00,119.31647584705189
A,B,2024-01-17 20:00:00,120.18965878439215
A,B,2024-01-17 22:00:00,131.17216237826645
A,B,2024-01-18 00:00:00,122.15510790402679
A,B,2024-01-18 02:00:00,115.97569499292938
A,B,2024-01-18 04:00:00,139.46004645507583
A,B,2024-01-18 06:00:00,115.9938960077331
A,B,2024-01-18 08:00:00,120.8621583314543
A,B,2024-01-18 10:00:00,136.47754577269023
A,B,2024-01-18 12:00:00,123.50824787487815
A,B,2024-01-18 14:00:00,135.28243748401468
A,B,2024-01-18 16:00:00,129.65003644928643
A,B,2024-01-18 20:00:00,134.86036806634843
A,B,2024-01-18 22:00:00,130.96160708442358
A,B,2024-01-19 00:00:00,117.54184035745351
A,B,2024-01-19 02:00:00,116.85055471182899
A,B,2024-01-19 04:00:00,121.04345149139724
A,B,2024-01-19 06:00:00,132.33690409370246
A,B,2024-01-19 08:00:00,130.222241897172
A,B,2024-01-19 10:00:00,126.52662513200126
A,B,2024-01-19 12:00:00,135.59589885296842
A,B,2024-01-19 14:00:00,124.87911163998318
A,B,2024-01-19 16:00:00,114.22567882823803
A,B,2024-01-19 18:00:00,130.29517257073286
A,B,2024-01-19 20:00:00,132.93595751725383
A,B,2024-01-22 00:00:00,116.04419535210971
A,B,2024-01-22 02:00:00,137.06253961659493
A,B,2024-01-22 04:00:00,135.3039981134609
A,B,2024-01-22 06:00:00,117.89192440086101
A,B,2024-01-22 08:00:00,121.95425824880707
A,B,2024-01-22 10:00:00,134.32819542589024
A,B,2024-01-22 12:00:00,136.93562231288251
A,B,2024-01-22 14:00:00,120.46469516056646
A,B,2024-01-22 16:00:00,133.92222565459014
A,B,2024-01-22 18:00:00,124.44290046818892
A,B,2024-01-22 20:00:00,118.05576126417185
A,B,2024-01-22 22:00:00,136.0651738876172
A,B,2024-01-23 00:00:00,134.69975585722915
A,B,2024-01-23 02:00:00,114.76441662242007
A,B,2024-01-23 04:00:00,122.56113369462236
A,B,2024-01-23 06:00:00,134.4832382892311
A,B,2024-01-23 08:00:00,134.69918762946662
A,B,2024-01-23 10:00:00,134.10632071270385
A,B,2024-01-23 12:00:00,136.2569495059915
A,B,2024-01-23 14:00:00,119.77744522833437
A,B,2024-01-23 16:00:00,125.81064860693658
A,B,2024-01-23 18:00:00,134.3084929140153
A,B,2024-01-23 20:00:00,114.73596062252787
A,B,2024-01-23 22:00:00,122.4616195795324
A,B,2024-01-24 00:00:00,138.6594390508137
A,B,2024-01-24 02:00:00,130.40596950053467
A,B,2024-01-24 04:00:00,139.0211373443895
A,B,2024-01-24 06:00:00,137.9580884827667
A,B,2024-01-24 08:00:00,138.74850315618556
A,B,2024-01-24 10:00:00,138.54898638028368
A,B,2024-01-24 12:00:00,116.88521569679165
